Full name,Category,Link,Profile keywords,Full bio,Star rating,Number of reviews,Cameo video price,Cameo chat price,Response times (hours),Tags,FF Full name,FF Profile keywords,FF Celebrity rating,FF Main category rating,"Wikipedia Traffic
(Avg. daily)",Cost Effectiveness METRIC,Cost Effectiveness RANK,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
Marla Maples,Actors,https://www.cameo.com/marla,Actress,For endorsement & speaking inquiries: tom@londonspeakersbureau.com Instagram & twitter: @itsmarlamaples www.marlamaples.com,4.98,83,72.0,9.99,76.43,"#Actors, #More, #Motivational Speakers, #Musicians",Marla Maples,Actor,202.0,90,8608,68.757,1,1,0,0,0,0,0,0,0,0,0,0
Gina Rodriguez,Public Figures,https://www.cameo.com/ginarodriguez,Reality TV Star,Celebrity Manager on Mama June From Not To Hot on WEtv. Celebrity Makeover Guru... Mama June Season Premiere 3/13,5.0,1,20.0,2.99,5.09,#Reality TV,Gina Rodriguez,Public Figure,1524.0,177,3526,32.808,2,0,0,0,0,0,0,0,0,0,1,0
Nancy Kerrigan,Athletes,https://www.cameo.com/nancyk,Former Pro Figure Skater - Olympian - Actress,,5.0,122,50.0,2.99,56.47,"#Athletes, #Olympics, #Winter Sports, #Women in Sports",Nancy Kerrigan,Figure,948.0,2,1816,21.096999999999998,3,0,0,1,0,0,0,0,0,0,0,0
LaVar Ball,Public Figures,https://www.cameo.com/lavarball,CEO of Big Baller Brand,,4.95,176,133.0,2.99,1.01,"#Athletes, #Basketball, #Entrepreneurs, #Featured, #More, #NCAA, #New Orleans Pelicans, #Reality TV, #UCLA",LaVar Ball,Public Figure,369.0,27,1558,20.375999999999998,4,0,0,0,0,0,0,0,0,0,1,0
Ice Cube,Actors,https://www.cameo.com/donmega69,Rapper,,4.94,96,500.0,2.99,157.43,"#Actors, #Comedy, #Featured, #Hip Hop, #Movies, #Musicians, #Rappers, #Reality TV",Ice Cube,Actor,101.0,43,6460,19.802,5,1,0,0,0,0,0,0,0,0,0,0
Johnny Walker,Athletes,https://www.cameo.com/johnnywalkerufc,UFC Fighter,The future UFC champion 😁😉,4.98,42,80.0,4.99,19.93,"#Athletes, #Fighters, #UFC",Johnny Walker (fighter),Martial,638.0,6,1363,19.592,6,0,0,1,0,0,0,0,0,0,0,0
Jonah Falcon,Actors,https://www.cameo.com/jonahfalcon1970,,Thirteen and a half reasons to check me out.,4.78,9,25.0,1.99,20.06,"#Esports, #Gamers, #More, #Podcast, #Twitch Streamers",Jonah Falcon,Actor,2381.0,1141,5793,16.8,7,1,0,0,0,0,0,0,0,0,0,0
The Great Khali,Athletes,https://www.cameo.com/greatkhali,Former WWE Wrestler,"The Great Khali is an Indian American professional wrestler, promoter and actor. 7ft 1 in weight 347 lb.",4.83,229,50.0,2.99,96.30,"#Athletes, #Pro Wrestlers",The Great Khali,Professional,1384.0,19,3254,14.450999999999999,8,0,0,1,0,0,0,0,0,0,0,0
Lisa Ann,Actors,https://www.cameo.com/thereallisaann,SiriusXM - Fantasy Sports Radio Host,www.thereallisaann.com,4.95,133,99.0,2.99,42.63,"#Athletes, #More, #Podcast, #Radio, #Sports Reporters",Lisa Ann,Adult,760.0,4,2670,13.290999999999999,9,1,0,0,0,0,0,0,0,0,0,0
Amberley Snyder,Athletes,https://www.cameo.com/amberleysnyder,Professional Barrel Racer,💙Barrel Racer & Keynote Speaker ⭐️Walk Ride Rodeo⭐️ @cinchjeans/@_classicequine/@harttrailer/purina/purishield/ReitaSB/@paramountcubing/@redmondequine,5.0,13,49.0,2.99,64.23,"#Actors, #Athletes, #Authors, #Extreme Sports, #More, #Motivational Speakers, #Netflix",Amberley Snyder,Horse,1702.0,1,449,11.991,10,0,0,1,0,0,0,0,0,0,0,0
Bree Olson,Actors,https://www.cameo.com/breeolson,,"I am having so much fun shooting these videos for you guys! It’s best to just give me a topic or what’s going on and I can take it from there! Please keep it classy, thanks!",4.83,30,32.0,2.99,57.35,"#Authors, #Personalities, #Influencers, #Models, #More",Bree Olson,Adult,2611.0,17,1984,11.969000000000001,11,1,0,0,0,0,0,0,0,0,0,0
Stacey Dash,Actors,https://www.cameo.com/staceydash,Actress - Clueless,Christian⚔️✝️⚔️ Mother Actress Interior Designer Warrior,4.85,134,53.0,4.99,53.26,"#Actors, #Featured, #Film, #More, #Movies, #Rom-Coms, #TV Hosts",Stacey Dash,Actor,1594.0,796,4372,11.837,12,1,0,0,0,0,0,0,0,0,0,0
Mimi Rogers,Actors,https://www.cameo.com/lucimi,Actress,,5.0,7,55.0,2.99,41.28,"#Actors, #More, #Movies, #Poker, #TV",Mimi Rogers,Actor,1566.0,780,5260,11.61,13,1,0,0,0,0,0,0,0,0,0,0
Priscilla Presley,Actors,https://www.cameo.com/priscillapresley1,Actress - The Naked Gun,,5.0,26,150.0,2.99,81.52,"#Actors, #Film, #Movies, #TV",Priscilla Presley,Actor,609.0,316,9347,10.947000000000001,14,1,0,0,0,0,0,0,0,0,0,0
Lil Xan,Musicians,https://www.cameo.com/lilxan,Musician - Rapper,Taking Over Cameo for the Holidays. Send me any request you have! ❤️💔,4.73,15,110.0,19.99,32.23,"#Musicians, #Rappers",Lil Xan,Musician,858.0,97,1736,10.595,15,0,0,0,0,0,0,0,1,0,0,0
Holly Holm,Athletes,https://www.cameo.com/holly.h,UFC Fighter,,4.94,47,100.0,2.99,165.53,"#Athletes, #Extreme Sports, #Featured, #Fighters, #UFC, #Women in Sports",Holly Holm,Martial,982.0,9,1857,10.183,16,0,0,1,0,0,0,0,0,0,0,0
James Ellsworth,Athletes,https://www.cameo.com/jamesellsworth,Professional Wrestler,"I’m James Ellsworth #Duh Defeated AJ Styles 3 times, Real women’s money in the bank winner",4.95,276,19.0,2.99,2.18,"#Athletes, #Pro Wrestlers, #Wrestlers",James Ellsworth (wrestler),Professional,5194.0,78,218,10.133,17,0,0,1,0,0,0,0,0,0,0,0
Elle King,Public Figures,https://www.cameo.com/elleking,Singer - Songwriter,Howdy Elle King here! I’m the guy that sings Exs&Ohs! This banjo baby is with ya! If you need a pep talk•I’m your guy•Want me to propose to your girlfriend•I’m yer guy Also gimme song requests!!!!,5.0,17,75.0,4.99,97.03,"#Actors, #Lead Singers, #Musicians, #Pop, #Singer/Songwriter",Elle King,Public Figure,1324.0,144,9634,10.07,18,0,0,0,0,0,0,0,0,0,1,0
Kurt Angle,Athletes,https://www.cameo.com/gold1996,Hall of Fame Wrestler & Olympic Gold Medalist,Olympic Champion World Champion 6 X WWE Champion 5 X TNA Champion IWGP Champion 19 different HOF Inductions,4.95,203,100.0,2.99,1.22,"#Athletes, #Featured, #Hall of Famers, #Olympics, #Pro Wrestlers",Kurt Angle,Professional,1025.0,12,3412,9.756,19,0,0,1,0,0,0,0,0,0,0,0
Anthony Rapp,Actors,https://www.cameo.com/antrapp,Actor - RENT - Star Trek,"Through December 6th, 100% of my Cameo proceeds will be donated to (RED)’s fight against two pandemics: AIDS and COVID-19",4.96,178,50.0,2.99,162.96,"#Actors, #Broadway, #Comic-Con, #Personalities, #Featured, #Film, #Sci-Fi, #TV",Anthony Rapp,Actor,2086.0,1017,2365,9.588,20,1,0,0,0,0,0,0,0,0,0,0
Taryn Manning,Actors,https://www.cameo.com/tarynmanning,Actress: Orange is the New Black - Singer,Orange is the new black (pennsatucky) Sons of anarchy (cherry) Crossroads (Mimi) hustle and flow (Nola) 8mile Cleveland abduction (Michelle Knight) BOOMKAT my band wmybro Kellin- Hawaii 5-0 (Mary),4.79,42,35.0,3.99,164.32,"#Actors, #Featured, #Movies, #Musicians, #Netflix, #Orange Is The New Black, #Singer/Songwriter, #TV",Taryn Manning,Actor,3070.0,1429,1813,9.307,21,1,0,0,0,0,0,0,0,0,0,0
Mia Khalifa,Actors,https://www.cameo.com/miakhalifa,Creator,"I’m donating ALL money from cameo to the Lebanese Red Cross, so you’re saving lives by booking! If u want to see my feet, they’re sold separately, specify whether you want L or R. Jk, no feet stuff.",5.0,9,300.0,19.99,166.02,"#Personalities, #Influencers",Mia Khalifa,Adult,361.0,1,21585,9.234,22,1,0,0,0,0,0,0,0,0,0,0
Farrah Abraham,Personalities,https://www.cameo.com/farrahabraham,MTV Star - Teen Mom,"OG,LEGEND, MOM, AUNT, DAUGHTER, Business Woman & Serial Entrepreneur ❤️",4.89,82,95.0,1.99,51.57,"#Personalities, #Influencers, #Instant Influencer, #Models, #MTV, #Reality TV, #Teen Mom, #TikTok, #Youtube",Farrah Abraham,Person/Wikidata,1166.0,1,1989,9.027999999999999,23,0,0,0,0,0,0,0,0,1,0,0
Mara Wilson,Actors,https://www.cameo.com/marawilson,Actress - Matilda,"Matilda, Mrs. Doubtfire, Miracle on 34th Street, Welcome to Night Vale, Big Hero 6: The Series, Where Am I Now?, Cracked, Reductress, etc. Please LMK how names are pronounced, thanks! For birthdays/special dates, please try to let me know a few days in advance. :)",5.0,39,65.0,4.99,29.84,"#Actors, #Comic-Con, #Film, #Movies, #TV",Mara Wilson,Actor,1711.0,855,7622,8.992,24,1,0,0,0,0,0,0,0,0,0,0
Anthony Scaramucci,Public Figures,https://www.cameo.com/themooch,Political Figure - The Mooch,"White House Communications Director for 11 days. Don't say 10, it hurts my feelings! Either way, it was longer than I stayed in the Celebrity Big Brother house on Season 2 #mooch",4.88,323,55.0,2.99,53.41,"#Featured, #More, #Political commentators, #Reality TV",Anthony Scaramucci,Officeholder,2087.0,84,2091,8.712,25,0,0,0,0,0,0,0,0,0,1,0
Adrianne Palicki,Actors,https://www.cameo.com/adriannepalicki,"Actress - Friday Night Lights, Agents of Shield","Actress from Friday Night Lights, Agents of Shield, The Orville, Legion, Red Dawn, G.I. Joe: Retaliation, John Wick and more!",5.0,48,75.0,2.99,97.01,"#Actors, #Comic-Con, #Personalities, #Drama, #Friday Night Lights, #Marvel, #Movies, #Sci-Fi, #TV",Adrianne Palicki,Actor,1541.0,766,3321,8.652000000000001,26,1,0,0,0,0,0,0,0,0,0,0
Johanna Konta,Athletes,https://www.cameo.com/johannakonta,Professional Tennis Player,"Hello, I’m Johanna 👋",4.89,35,50.0,4.99,120.40,"#Athletes, #Tennis",Johanna Konta,Tennis,2639.0,20,305,7.579,27,0,0,1,0,0,0,0,0,0,0,0
Alexis Knapp,Actors,https://www.cameo.com/alexisknapp,"Actress - Pitch Perfect, Project X",I am so excited to connect with you all! Bring on the good vibes!!! If u watched my whole intro video I truly love you ❤️🌹🤓😍,5.0,13,44.44,3.99,166.02,"#Actors, #Movies, #TV",Alexis Knapp,Actor,2970.0,1392,3037,7.577000000000001,28,1,0,0,0,0,0,0,0,0,0,0
Sean Spicer,Public Figures,https://www.cameo.com/seanspicer,Former White House Press Secretary,Sean will be donating 100% of his funds to charity,4.71,24,199.0,2.99,52.68,"#Dancing with the Stars, #Featured, #More, #Political commentators, #Reality TV",Sean Spicer,Officeholder,682.0,34,994,7.367999999999999,29,0,0,0,0,0,0,0,0,0,1,0
Eric Roberts,Actors,https://www.cameo.com/ericroberts,Actor - The Dark Knight,,4.98,184,90.0,2.99,52.34,"#Actors, #Cameo Live, #Comic-Con, #Personalities, #DC, #Featured, #Film, #Movies, #TV",Eric Roberts,Actor,1508.0,754,4331,7.367999999999999,30,1,0,0,0,0,0,0,0,0,0,0
Greg Sestero,Actors,https://www.cameo.com/gsestero,Actor - The Room,"Oh hi Cameo! Star of The Room, NYT Bestselling Author of The Disaster Artist, Best F(r)iends, and Retro Puppetmaster. Excited to be on Cameo and connect with you. Let’s tear this apart!",4.98,411,45.0,2.99,45.01,#Actors,Greg Sestero,Actor,3027.0,1411,1330,7.341,31,1,0,0,0,0,0,0,0,0,0,0
Lacey Chabert,Actors,https://www.cameo.com/laceychabert,"Actress - Mean Girls, Christmas Waltz","I'm joining cameo for a limited time this Holiday season to send my love to your friends, family and loved ones. 100% of my proceeds will go to the New Day Foundation for Families, helping families dealing with cancer ❤️",4.96,26,175.0,2.99,93.09,"#Actors, #Featured, #Hallmark, #Mean Girls, #Movies",Lacey Chabert,Actor,787.0,405,3373,7.261,32,1,0,0,0,0,0,0,0,0,0,0
Corey Harrison,Public Figures,https://www.cameo.com/coreyharrison,History - Pawn Stars,Corey Harrison aka “Big Hoss” form History’s pawn stars,4.57,30,20.0,2.99,86.85,"#History Channel, #Reality TV",Corey Harrison,Public Figure,7571.0,1163,1381,6.604,33,0,0,0,0,0,0,0,0,0,1,0
Danny Trejo,Actors,https://www.cameo.com/dannytrejo,"Actor - Breaking Bad, Machete",Get your Cameo from me for your loved one this holiday season! Part of my proceeds will be donated to a charity close to my heart.,4.93,143,125.0,2.99,149.06,"#Actors, #Breaking Bad, #Comic-Con, #Personalities, #Drama, #En Español, #Featured, #Film, #More, #TV",Danny Trejo,Actor,1229.0,626,4837,6.5089999999999995,34,1,0,0,0,0,0,0,0,0,0,0
Manu Bennett,Actors,https://www.cameo.com/manubennett,Actor - Arrow,#manu,4.96,327,40.0,2.99,84.84,"#Actors, #Arrow, #Comic-Con, #Personalities, #CW, #DC, #TV",Manu Bennett,Actor,3861.0,1736,1009,6.475,35,1,0,0,0,0,0,0,0,0,0,0
Nadia Comaneci,Athletes,https://www.cameo.com/comaneci10,Olympic Gold Medalist - Gymnast,"First Gymnast Ever Awarded a Perfect 10.0, Youngest Olympic Gold Medalist Ever, 5X Olympic Gold Medalist",4.81,154,50.0,2.99,16.15,"#Athletes, #Featured, #Gymnastics",Nadia Comăneci,Gymnast,3105.0,3,1963,6.441,36,0,0,1,0,0,0,0,0,0,0,0
Ken Shamrock,Athletes,https://www.cameo.com/kenshamrock,UFC Hall of Fame - Impact Wrestling,UFC Hall of Famer and WWF legend. 4x Heavy Weight World Champion.,4.86,106,40.0,2.99,95.66,"#Athletes, #Personalities, #Fighters, #Fitness, #Influencers, #UFC",Ken Shamrock,Martial,3893.0,55,1961,6.422000000000001,37,0,0,1,0,0,0,0,0,0,0,0
Ryan McCartan,Public Figures,https://www.cameo.com/mccarya,Broadway Actor - Wicked,•scandalacious ⚪️👖 Fiyero in @wicked_musical on b’way •damaged 💣 OG JD in @heathersmusical •rose-tinted 👠 Brad Majors in @rockyhorrorfox •with authority 🏀 Diggie on Disney Channel’s Liv and Maddie,4.98,192,30.0,9.99,151.93,"#Actors, #Broadway",Ryan McCartan,Public Figure,5262.0,740,1377,6.335,38,0,0,0,0,0,0,0,0,0,1,0
Rick Dempsey,Actors,https://www.cameo.com/rickdempsey24,Former MLB Player - Baltimore Orioles,,5.0,27,150.0,2.99,23.93,"#Athletes, #Baltimore Orioles, #Baseball",Patrick Dempsey,Actor,1055.0,545,5838,6.319,39,1,0,0,0,0,0,0,0,0,0,0
Floyd Mayweather,Athletes,https://www.cameo.com/moneymay,"World Champion Boxer, 50-0","Floyd “Money” Mayweather. One of most iconic athletes of all time. 12-time World Champion and currently undefeated boxing icon Mr. 50-0. For Commercial requests, hit the ""book for a brand or business"" button.",4.5,6,999.0,49.99,166.01,"#Athletes, #Boxing, #Dancing with the Stars, #Entrepreneurs, #Featured, #More, #Reality TV",Floyd Mayweather Jr.,Boxer,160.0,2,6938,6.256,40,0,0,1,0,0,0,0,0,0,0,0
Katie Hopkins,Public Figures,https://www.cameo.com/katiehopkins,,Biggest Bitch in Britain. Live. Laugh. Love. Be as happy as you can possibly be.,4.85,27,50.0,2.99,24.25,#Reality TV,Katie Hopkins,Public Figure,3213.0,398,1831,6.225,41,0,0,0,0,0,0,0,0,0,1,0
DJ Qualls,Actors,https://www.cameo.com/djqualls,"Actor - Road Trip, The New Guy, Supernatural",,4.99,79,40.0,1.99,73.20,"#Actors, #Comedy, #Comic-Con, #Personalities, #Movies, #Supernatural, #TV",DJ Qualls,Actor,4018.0,1794,2240,6.222,42,1,0,0,0,0,0,0,0,0,0,0
Victor Ortiz,Athletes,https://www.cameo.com/itsvortiz,Welterweight Champion,"I am a three time boxing champion. Live, Love, Laugh!!! I have two sons whom I live for !!!",4.79,28,20.0,2.99,64.65,"#Athletes, #Boxing, #Personalities, #En Español, #Fitness, #Influencers, #More",Victor Ortiz,Boxer,8220.0,57,541,6.082999999999999,43,0,0,1,0,0,0,0,0,0,0,0
Johnathon Schaech,Actors,https://www.cameo.com/johnathon,Actor - Writer - Producer,When the dream you dream becomes That Thing You Do! Awesome. Prom Night date! Perfect for quitting old things. And I’m DCs Jonah Hex!,4.96,56,25.0,2.99,38.05,"#Actors, #More, #Writers",Johnathon Schaech,Actor,6700.0,2686,1440,5.97,44,1,0,0,0,0,0,0,0,0,0,0
Doug Jones,Actors,https://www.cameo.com/actordougjones,"Actor - Star Trek, Hellboy, The Shape of Water","Actor - Star Trek: Discovery, The Shape Of Water, Hocus Pocus, Pan’s Labyrinth, Hellboy, Buffy, Fantastic Four: Rise Of The Silver Surfer, Falling Skies, Arrow, The Flash, Teen Wolf, What We Do In The Shadows, and the upcoming Nosferatu remix!",5.0,152,60.0,1.99,44.42,"#Actors, #Comic-Con, #Personalities, #Film, #Sci-Fi, #Star Trek, #TV",Doug Jones (actor),Actor,2805.0,1325,1891,5.942,45,1,0,0,0,0,0,0,0,0,0,0
Chumlee,Public Figures,https://www.cameo.com/chumlee,History - Pawn Stars,"Hey I’m Chumlee here waiting to sing happy birthday or leave an inspirational message to friend, I could give you a shout out or what ever you have in mind. plesee let me know how to pronouce the name",4.92,665,85.0,4.99,19.21,"#Cameo Live, #Featured, #History Channel, #Reality TV",Chumlee,Public Figure,1985.0,230,4227,5.9270000000000005,46,0,0,0,0,0,0,0,0,0,1,0
Anne Dudek,Actors,https://www.cameo.com/annedudek,"Actress - Mad Men, House, White Chicks","Hey! I’ve enjoyed working on so many excellent shows and movies. My favorites were: the Book Group, White Chicks, Friends, How I Met Your Mother, House, Mad Men, and Corporate.",5.0,6,15.0,9.99,1.66,"#Actors, #Friends, #HBO, #How I Met Your Mother, #Movies, #TV",Anne Dudek,Actor,11321.0,4003,1154,5.888999999999999,47,1,0,0,0,0,0,0,0,0,0,0
Joy Taylor,Public Figures,https://www.cameo.com/joytaylortalks,Fox Sports - Co-Host of The Herd,"Co-Host of The Herd on FS1, Host of the Maybe I’m Crazy Podcast and Joy Chat on Caffeine, Extra TV Correspondent",4.75,16,25.0,2.99,94.18,"#Athletes, #Commentators, #More, #Podcast, #Sports Reporters, #Women in Sports",Joy Taylor,Public Figure,6801.0,1019,1160,5.881,48,0,0,0,0,0,0,0,0,0,1,0
Snoop Dogg,Musicians,https://www.cameo.com/snoopdogg,Rapper,"It’s so much fun when u doing it with the d o double. G live and personal messages. For names please provide phonetic pronunciation. For promos & endorsements, please book at my business price.",4.9,167,1200.0,2.99,161.32,"#Actors, #Featured, #Hip Hop, #Musicians, #Rappers, #TV",Snoop Dogg,Musician,142.0,25,15465,5.869,49,0,0,0,0,0,0,0,1,0,0,0
Justin Gatlin,Athletes,https://www.cameo.com/justingatlin,Olympic Sprinter - Gold,,5.0,14,50.0,2.99,118.32,"#Athletes, #Olympics",Justin Gatlin,Sportsperson,3569.0,4,735,5.604,50,0,0,1,0,0,0,0,0,0,0,0
Brandon Perea,Public Figures,https://www.cameo.com/brandonperea,Actor- The OA,I play Alfonso “French” Sosa in “The OA” on Netflix!,5.0,15,15.0,2.99,103.58,"#Actors, #Netflix, #TV",Brandon Perea,Public Figure,11974.0,2032,84,5.568,51,0,0,0,0,0,0,0,0,0,1,0
Randy Couture,Athletes,https://www.cameo.com/xcnatch,"Former MMA Fighter, 6x UFC Champion & Actor",,4.99,597,50.0,10.99,3.83,"#Actors, #Athletes, #Extreme Sports, #Featured, #Fighters, #Hall of Famers, #UFC",Randy Couture,Martial,3648.0,51,2091,5.482,52,0,0,1,0,0,0,0,0,0,0,0
Corey Feldman,Actors,https://www.cameo.com/cdogg22,Actor - The Goonies,"HI,I’M DOWN 2 PRETTY MUCH SAY OR DO WHATEVER U ASK, IN UR REQUESTS. THAT SAID I HAVE 2 RULES. NOTHING CRUDE, ONLY✌🏼 ❤️ & + ENERGY ALLOWED! FOR ANY BUSINESS REQUESTS PLEASE BOOK ME AT MY BUSINESS PRICE. THIS IS ONLY 4 FUN SO LETS PLEASE KEEP IT POSITIVE! #Kids2",4.95,222,202.0,19.99,117.38,"#Actors, #Comic-Con, #Personalities, #Featured, #Musicians, #Reality TV, #TV",Corey Feldman,Actor,903.0,456,7832,5.482,53,1,0,0,0,0,0,0,0,0,0,0
Tyron Woodley,Athletes,https://www.cameo.com/tyronwoodley,UFC Fighter,,4.88,42,100.0,2.99,63.54,"#Athletes, #Fighters, #UFC",Tyron Woodley,Martial,1834.0,18,2158,5.452999999999999,54,0,0,1,0,0,0,0,0,0,0,0
Dennis Bermudez,Athletes,https://www.cameo.com/menacebermudez,UFC Fighter,•UFC Fighter •Season 14 TUF Finalist. •Guinness Book of World Records holder •Twitch: www.twitch.tv/menacebermudez,4.93,28,10.0,0.99,158.50,"#Athletes, #Fighters, #UFC",Dennis Bermudez,Martial,18355.0,249,121,5.4479999999999995,55,0,0,1,0,0,0,0,0,0,0,0
Gina Miller,Public Figures,https://www.cameo.com/theginamiller,Sportscaster,"FC Dallas media VP, sportscaster, speaker, traveler & mom. Will do just about anything for a 🎥 and a 🎤. Sportsier than you. Really.",5.0,1,15.0,2.99,97.01,"#Athletes, #FC Dallas, #Soccer",Gina Miller,Public Figure,12295.0,2101,130,5.422000000000001,56,0,0,0,0,0,0,0,0,0,1,0
Andy Milonakis,Actors,https://www.cameo.com/andymilonakis,Comedian - TV Star,"The Andy Milonakis Show, Kroll Show, Adventure Time, Waiting, Three Loco, Jimmy Kimmel Live",4.87,191,90.0,2.99,166.06,"#Comedians, #Featured",Andy Milonakis,Actor,2069.0,1011,2369,5.37,57,1,0,0,0,0,0,0,0,0,0,0
Naomi Grossman,Public Figures,https://www.cameo.com/naomiwgrossman,Actress,"Naomi Grossman is an American actress, writer, and producer best known for her role as Pepper in the second and fourth seasons and also as Satanist Cardinal in the eighth season of the FX horror telev",5.0,24,20.0,2.99,12.17,#Actors,Naomi Grossman,Public Figure,9513.0,1535,591,5.256,58,0,0,0,0,0,0,0,0,0,1,0
Rumer Willis,Actors,https://www.cameo.com/rumerwillis,"Actress - Once Upon a Time in Hollywood, House Bunny",Hello 🌙✨,4.94,16,79.0,5.99,75.47,"#Actors, #Cameo Live, #Comedy, #Dancing with the Stars, #Featured, #Film, #Movies, #Reality TV, #The Masked Singer, #TV",Rumer Willis,Actor,2426.0,1163,2868,5.218,59,1,0,0,0,0,0,0,0,0,0,0
Miesha Tate,Athletes,https://www.cameo.com/mieshatate,Professional MMA & UFC Athlete,"Former UFC Bantam weight world champ, current ONE Championship VP! Getting through 2020 one day at a time, let's make some great memories 💪🧁! Booking through Apple App? Cheaper through the website!",5.0,6,90.0,2.99,66.81,"#Athletes, #Extreme Sports, #Martial Arts, #UFC, #Women in Sports",Miesha Tate,Martial,2137.0,22,1195,5.199,60,0,0,1,0,0,0,0,0,0,0,0
Melina Perez,Athletes,https://www.cameo.com/realmelina,Former Professional Wrestler,"Former WWE Wrestler✨Crazy Dog Lady ✨Goofball✨Walking Contradiction ✨ Woman of 1,001 Disguises ✨Typo Queen✨& the One Who ❤️s U All! 😘 #LiveToLaugh",4.65,57,25.0,2.99,41.63,"#Athletes, #Pro Wrestlers",Melina Perez,Professional,7790.0,130,631,5.135,61,0,0,1,0,0,0,0,0,0,0,0
Neal McDonough,Actors,https://www.cameo.com/nealmcdonough,Actor - DC's Legends of Tomorrow,"Minority Report, Suits, Legends of Tomorrow, Project Blue Book, Arrow, Desperate Housewives, Medical Investigation, Boomtown, The Incredible Hulk and more!",4.99,93,50.0,2.99,129.28,"#Actors, #Arrow, #Comic-Con, #Personalities, #DC, #Featured, #HBO, #Sci-Fi, #TV",Neal McDonough,Actor,3933.0,1761,2714,5.085,62,1,0,0,0,0,0,0,0,0,0,0
Jennifer Hale,Actors,https://www.cameo.com/jenhale,"FOX Sports Journalist - NFL, NBA & College Football","Fox Sports Sideline Reporter: NFL, NBA, College Football. Studio Host. All things New Orleans Pelicans & TBT. Sideline Pass Founder: organization dedicated to educating the next gen of female leaders",4.64,11,25.0,2.99,55.48,"#Athletes, #Basketball, #Commentators, #Football, #More, #New Orleans Pelicans, #Sports Reporters, #Women in Sports",Jennifer Hale,Actor,7922.0,3070,1160,5.0489999999999995,63,1,0,0,0,0,0,0,0,0,0,0
Marcin Tybura,Athletes,https://www.cameo.com/tybur,UFC Fighter,,5.0,2,10.0,2.99,166.01,"#Athletes, #Fighters, #UFC",Marcin Tybura,Martial,19948.0,275,223,5.013,64,0,0,1,0,0,0,0,0,0,0,0
Lindsay Lohan,Actors,https://www.cameo.com/lindsaylohan,"Actress - Parent Trap, Mean Girls","Lindsay Lohan is an international actress, model and recording artist & she is now on Cameo for a limited time! Request your favorite Mean Girls line, hear some business advice or love from Lindsay!",4.68,126,430.0,19.99,35.02,"#Actors, #Featured, #Film, #Mean Girls, #More, #Movies, #MTV, #Reality TV, #TV Hosts",Lindsay Lohan,Actor,465.0,229,6576,5.001,65,1,0,0,0,0,0,0,0,0,0,0
Vicky Pattison,Personalities,https://www.cameo.com/vickypattison,Reality TV Star,I’m a TV personality and down to earth geordie lass! So excited to join Cameo- can’t wait to make loads of lovely videos for you guys!! Oh and I’m raising funds for CoppaFeel 😍,5.0,13,33.0,2.99,162.82,"#I'm a Celebrity... Get Me Out of Here, #MTV, #Reality TV",Vicky Pattison,Person,6066.0,104,613,4.996,66,0,0,0,0,0,0,0,0,1,0,0
Shanna Moakler,Actors,https://www.cameo.com/shanna_moakler,Model - Former Miss USA,"Actress, TV Personality, Host and Mom SNAPCHAT - Goldelocks328",5.0,5,25.0,2.99,73.39,"#Actors, #Models, #More, #TV Hosts",Shanna Moakler,Actor,8061.0,3118,1017,4.962,67,1,0,0,0,0,0,0,0,0,0,0
Eva Amurri,Public Figures,https://www.cameo.com/thehappilyeva,Actress - Blogger,"100% of my proceeds raised are going to St. Jude Children’s Research Hospital, which is leading the way the world understands, treats and defeats childhood cancer. More info here: www.stjude.org",5.0,10,45.0,2.99,12.67,"#Actors, #Bloggers, #Personalities, #Film, #Lifestyle",Eva Amurri,Public Figure,4495.0,612,1879,4.944,68,0,0,0,0,0,0,0,0,0,1,0
Lea Thompson,Actors,https://www.cameo.com/leathompson,Actress,"So excited to be on Cameo to send you some fun messages! ** Fan messages only please, no business endorsements! Thanks!",4.99,97,100.0,4.99,66.29,"#Actors, #Comic-Con, #Personalities, #Featured, #Film, #Movies, #TV",Lea Thompson,Actor,2026.0,993,6187,4.936,69,1,0,0,0,0,0,0,0,0,0,0
Chuck Norris,Actors,https://www.cameo.com/chucknorris,Actor,Thank you guys for choosing me for your personalized messages! Please be sure to specify who the message is from. Any business requests must be motivational for employees and internal purposes only.,4.97,240,350.0,2.99,68.64,"#Actors, #Athletes, #Featured, #Fighters, #Film, #TV",Chuck Norris,Actor,581.0,296,6775,4.918,70,1,0,0,0,0,0,0,0,0,0,0
Tia Carrere,Actors,https://www.cameo.com/tiacarrere,"Singer & Actress - Wayne's World, AJ and the Queen, True Lies",Iconic actress/Grammy-winning singer. Please only personal requests. No business related endorsements.,4.96,81,60.0,2.99,23.91,"#Actors, #Featured, #Musicians, #Netflix, #Singer/Songwriter",Tia Carrere,Actor,3404.0,1564,2921,4.896,71,1,0,0,0,0,0,0,0,0,0,0
